排名,特征,SHAP均值
1,光照时长h,0.48965457
2,能耗km/h,0.4768551
3,最低气温℃,0.28369275
4,EC_有效,0.20598838
5,湿度_日均_roll7d_std,0.17086582
6,光照_峰值,0.1531165
7,最高湿度%,0.12465218
8,气温_日均_lag3d,0.113054164
9,气温_日均_roll3d_std,0.11010925
10,种植床2液位上限距种植床表面距离cm,0.10894617
11,最高水温℃,0.10650162
12,气温_日均_roll7d_std,0.10634127
13,湿度_日均_roll7d_mean,0.10473584
14,气温_日均_lag1d,0.102776565
15,溶氧_有效,0.09484053
16,湿度_变化率,0.09282766
17,气温_日均_roll7d_mean,0.09012655
18,种植床1液位上限距种植床表面距离cm,0.08997115
19,气温_std,0.08946934
20,气温_变化率,0.07869364
21,湿度_std,0.078679726
22,最高气温℃,0.07820517
23,气温_日较差,0.07484917
24,DLI_approx,0.06896847
25,湿度_日均_lag3d,0.065360844
26,水温_std,0.06530062
27,气温_日均,0.06318727
28,水温_日均_roll7d_mean,0.06185857
29,气温_日均_roll3d_mean,0.05913954
30,湿度_日均_roll3d_std,0.050966404
31,水温_日均_lag3d,0.049765818
32,最低湿度%,0.0489058
33,水温_日均_roll3d_std,0.04685147
34,水温_日均_roll7d_std,0.042132284
35,水气温差,0.041463297
36,水温_变化率,0.04096878
37,水温_日均_lag1d,0.03792954
38,湿度_日均_lag1d,0.037830774
39,湿度_日均,0.037005454
40,湿度_日均_roll3d_mean,0.03668178
41,水温_日较差,0.03285484
42,水温_日均_roll3d_mean,0.031938042
43,EC值ms/cm,0.029186768
44,溶氧mg/L,0.028995961
45,最低水温℃,0.028100064
46,水温_日均,0.02681314
47,氨氮_有效,0.021306166
48,DO_饱和度_理论,0.020510828
49,DO_饱和比,0.017161826
50,溶氧_变化率,0.015849594
51,PH_有效,0.010486069
52,DO_亏损,0.008754624
53,亚盐mg/L,0.0048487633
54,亚盐_有效,0.004328869
55,PH,0.0031472475
56,氨氮mg/L,0.0030167883
57,PH_变化率,0.0
58,氨氮_变化率,0.0
