排名,特征,SHAP均值
1,光照时长h,0.40549278
2,能耗km/h,0.34391364
3,溶氧_有效,0.2698207
4,种植床1液位上限距种植床表面距离cm,0.2584176
5,种植床2液位上限距种植床表面距离cm,0.17016199
6,最高水温℃,0.15948534
7,最高湿度%,0.13188766
8,气温_日均_roll7d_mean,0.13153213
9,水温_日均_roll7d_std,0.10915903
10,最低气温℃,0.10621161
11,湿度_日均_roll7d_mean,0.103953324
12,最高气温℃,0.102868795
13,光照_峰值,0.09785654
14,气温_std,0.08769482
15,DLI_approx,0.0862025
16,气温_日均_roll3d_mean,0.07384107
17,水气温差,0.07348994
18,气温_日较差,0.07161892
19,水温_std,0.070731886
20,水温_日均_roll7d_mean,0.06883084
21,湿度_日均_roll7d_std,0.06781008
22,气温_日均_lag3d,0.067184806
23,气温_日均_roll7d_std,0.06530067
24,水温_日均_lag3d,0.06241098
25,湿度_std,0.059762683
26,湿度_日均_roll3d_mean,0.05819377
27,水温_日较差,0.048494097
28,湿度_日均_roll3d_std,0.047759514
29,水温_日均_roll3d_std,0.047294613
30,水温_日均_roll3d_mean,0.044676762
31,气温_日均_lag1d,0.044352014
32,最低湿度%,0.042441588
33,水温_变化率,0.040822554
34,溶氧mg/L,0.03970176
35,气温_日均_roll3d_std,0.03930142
36,溶氧_变化率,0.03924901
37,气温_日均,0.038512103
38,湿度_日均_lag1d,0.035481796
39,湿度_变化率,0.03148049
40,气温_变化率,0.030263783
41,水温_日均_lag1d,0.027287086
42,湿度_日均_lag3d,0.027152285
43,湿度_日均,0.025297772
44,最低水温℃,0.024564281
45,水温_日均,0.02275065
46,DO_饱和度_理论,0.02159943
47,DO_亏损,0.020607444
48,DO_饱和比,0.019902714
49,PH,0.011947764
50,EC值ms/cm,0.011762884
51,亚盐mg/L,0.009360219
52,氨氮mg/L,0.005457709
53,EC_有效,0.005441137
54,PH_有效,0.0007621585
55,PH_变化率,0.00032119663
56,氨氮_有效,9.533455e-05
57,氨氮_变化率,0.0
58,亚盐_有效,0.0
