排名,特征,SHAP均值
1,光照时长h,0.36939874
2,最低气温℃,0.24159412
3,EC_有效,0.20449147
4,光照_峰值,0.19606143
5,最高湿度%,0.13437177
6,湿度_日均_roll7d_std,0.1307075
7,最高气温℃,0.12192224
8,pinn_P_photo,0.10809748
9,气温_日均_roll3d_std,0.10768001
10,湿度_日均_roll7d_mean,0.105604425
11,最高水温℃,0.092488185
12,气温_日均_roll7d_std,0.08362963
13,气温_日均_roll7d_mean,0.078438364
14,气温_变化率,0.075897075
15,pinn_DO_deficit,0.07217576
16,水温_日均_lag3d,0.07034373
17,水温_std,0.069671474
18,水气温_交互,0.068904825
19,湿度_std,0.06883812
20,气温_std,0.065415725
21,最低湿度%,0.06418915
22,气温_日较差,0.058941297
23,气温_日均_lag3d,0.058509942
24,水气温差,0.056168936
25,DLI_approx,0.05526996
26,气温_日均,0.054832354
27,气温_日均_lag1d,0.053099122
28,湿度_变化率,0.049688347
29,湿度_日均_roll3d_std,0.04675311
30,trend_水温_3d,0.046364248
31,湿度_日均_lag3d,0.04400238
32,pinn_DO_sat_ratio,0.0428516
33,气温_日均_roll3d_mean,0.041483507
34,水温_日均_roll7d_mean,0.033881012
35,溶氧_有效,0.033722352
36,湿度_日均_roll3d_mean,0.03283855
37,湿度_日均_lag1d,0.03271609
38,水温_日均_roll3d_std,0.030842287
39,水温_日较差,0.029539308
40,DO_volatility,0.025367545
41,水温波动_加速度,0.022124343
42,湿度_日均,0.020832462
43,水温_日均_roll7d_std,0.020753002
44,氨氮_有效,0.020581396
45,最低水温℃,0.020006264
46,水温_日均_lag1d,0.019779984
47,高温天数_7d,0.018056931
48,pinn_oxygen_stress,0.017162947
49,EC值ms/cm,0.016047277
50,溶氧mg/L,0.013829594
51,水温_日均,0.013633892
52,pinn_reaeration,0.013359792
53,水温_变化率,0.01070217
54,水温_偏离适宜,0.0078101195
55,水温_日均_roll3d_mean,0.0070568603
56,DO_饱和度_理论,0.0062103593
57,溶氧_变化率,0.004670492
58,DO_饱和比,0.004238663
59,亚盐mg/L,0.003759086
60,亚盐_有效,0.0034761308
61,pinn_R_fish_T,0.0031276694
62,PH,0.0026168616
63,PH_有效,0.0025999446
64,DO_亏损,0.0024541875
65,氨氮mg/L,0.0024007633
66,pinn_DO_margin,0.0012656105
67,氨氮_变化率,0.0
68,PH_变化率,0.0
69,低氧天数_7d,0.0
