日期,基地,温室,模块,种植床1液位上限距种植床表面距离cm,种植床2液位上限距种植床表面距离cm,最低水温℃,最高水温℃,溶氧mg/L,氨氮mg/L,亚盐mg/L,PH,EC值ms/cm,水温_日均,水温_std,水温_日较差,温室_推断,能耗km/h,最低气温℃,最高气温℃,最低湿度%,最高湿度%,光照时长h,气温_日均,气温_std,气温_日较差,湿度_日均,湿度_std,DLI_approx,光照_峰值,蔬菜_事件数,蔬菜_病害次数,鱼_事件数,鱼_死亡数量,鱼_死亡重量_kg,鱼_病害次数,溶氧_有效,氨氮_有效,亚盐_有效,PH_有效,EC_有效
2025-04-12,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.6,22.3,8.09,0.3,0.107,7.63,2.0,22.042857142857144,0.18405855323893047,0.6000000000000014,喀左0号棚,15.71,16.5,25.5,64.1,92.7,7.67,19.646153846153844,2.5502987410574183,7.699999999999999,81.61538461538461,9.780266329065666,29563.0,7762.0,1,1,0,0,0.0,0,1,1,1,1,1
2025-04-13,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,20.9,21.6,8.1,,0.069,,,21.25,0.1979057014506321,0.7000000000000028,喀左0号棚,29.27,16.5,25.5,82.5,95.6,12.3,18.929166666666667,2.6822688105822325,9.0,91.40416666666665,3.091720013016845,20979.0,4359.0,0,0,0,0,0.0,0,1,0,1,0,0
2025-04-14,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,18.6,21.0,8.69,,,,,20.508333333333336,0.4091827899063637,1.8000000000000007,喀左0号棚,35.1,16.2,26.5,45.9,97.1,12.33,18.8,2.4899799195977463,8.0,82.35416666666667,16.354050955004663,42963.0,9504.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-04-15,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,19.8,22.0,9.05,0.33,0.181,7.54,1.7,20.815,0.8759423497011658,2.1999999999999993,喀左0号棚,36.92,14.6,31.5,36.5,94.6,13.57,21.120833333333334,5.51588457447116,16.6,75.925,18.508562207799933,72750.0,9667.0,1,1,0,0,0.0,0,1,1,1,1,1
2025-04-16,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,20.9,22.8,8.76,,0.47,,,21.80952380952381,0.7070426416080957,1.8000000000000007,喀左0号棚,37.29,15.9,31.6,50.1,94.1,13.67,21.65416666666667,4.621956581242287,15.2,77.37916666666668,15.002360346699524,75462.0,10615.0,0,0,0,0,0.0,0,1,0,1,0,0
2025-04-17,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.6,23.0,7.82,,,,,22.29565217391304,0.48497266697481545,1.3999999999999986,喀左0号棚,36.82,17.8,29.3,46.0,98.7,13.6,21.2625,3.4902020595757297,10.799999999999997,78.78333333333333,18.887907654252114,55571.0,11463.0,0,0,1,1,0.6,0,1,0,0,0,0
2025-04-18,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.4,22.4,8.31,,,,,21.958333333333332,0.2691292543659188,0.8999999999999986,喀左0号棚,35.88,14.6,27.0,38.8,94.3,13.73,19.345833333333335,2.90946432163876,11.3,79.55416666666667,18.394337425021742,43885.0,9569.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-04-19,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.1,23.1,8.21,0.42,0.128,,,22.014285714285716,0.7113272063950762,2.0,喀左0号棚,35.71,16.3,29.5,32.9,97.6,13.83,21.441666666666666,4.067750880059178,12.399999999999999,73.075,21.92424932200264,74170.0,10574.0,1,1,0,0,0.0,0,1,1,1,0,0
2025-04-20,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.8,23.4,8.46,,0.069,,,22.54761904761905,0.5001133658329956,1.5,喀左0号棚,33.67,17.0,30.0,37.8,93.0,13.93,21.75,3.5831782912194963,11.5,72.39166666666667,20.25493595535556,68859.0,10702.0,0,0,0,0,0.0,0,1,0,1,0,0
2025-04-21,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.3,22.6,8.44,,,,,21.991666666666664,0.2856522750167102,1.1000000000000014,喀左0号棚,35.99,16.7,23.8,49.6,96.2,13.87,19.275000000000002,1.3090231727004171,5.699999999999999,85.8125,13.507507557527655,22073.0,8124.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-04-22,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,20.5,22.7,9.41,0.39,0.068,7.49,1.9,21.60454545454546,0.803106057032927,2.1999999999999993,喀左0号棚,35.59,14.0,28.2,31.5,95.8,14.17,20.349999999999998,4.385962456139663,13.400000000000002,71.7625,22.867185596031124,71987.0,8935.0,1,1,0,0,0.0,0,1,1,1,1,1
